date,parameter,units,SiteID,org,org_id,time,value,sample_method,analytical_method,particle_size,date_time,media,sample_depth
2005-05-23,Cadmium,NA,AR-3A,California Gulch (US EPA Region 8),0801478,22:30:00,NA,UNKNOWN,NA,NA,2005-05-23,Water,NA
2005-05-18,Cadmium,NA,AR-1,California Gulch (US EPA Region 8),0801478,20:30:00,NA,UNKNOWN,NA,NA,2005-05-18,Water,NA
2005-05-20,Cadmium,NA,AR-1,California Gulch (US EPA Region 8),0801478,04:30:00,NA,UNKNOWN,NA,NA,2005-05-20,Water,NA
2005-05-23,Cadmium,NA,AR-1,California Gulch (US EPA Region 8),0801478,20:30:00,NA,UNKNOWN,NA,NA,2005-05-23,Water,NA
2005-05-05,Cadmium,ug/l,AR-1,California Gulch (US EPA Region 8),0801478,08:30:00,3.54e-4,UNKNOWN,NA,NA,2005-05-05,Water,NA
2005-05-10,Copper,NA,AR-3A,California Gulch (US EPA Region 8),0801478,10:30:00,NA,UNKNOWN,NA,NA,2005-05-10,Water,NA
2005-04-08,Cadmium,ug/l,CG-6,California Gulch (US EPA Region 8),0801478,21:58:00,0.0101,UNKNOWN,NA,NA,2005-04-08,Water,NA
2005-04-06,Zinc,ug/l,AR-3A,California Gulch (US EPA Region 8),0801478,21:00:00,0.524,UNKNOWN,NA,NA,2005-04-06,Water,NA
2005-04-03,Zinc,ug/l,AR-1,California Gulch (US EPA Region 8),0801478,18:59:00,0.0179,UNKNOWN,NA,NA,2005-04-03,Water,NA
2005-04-07,Copper,NA,CG-4,California Gulch (US EPA Region 8),0801478,08:59:00,NA,UNKNOWN,NA,NA,2005-04-07,Water,NA
2005-04-22,Copper,NA,AR-3A,California Gulch (US EPA Region 8),0801478,11:00:00,NA,UNKNOWN,NA,NA,2005-04-22,Water,NA
2005-05-17,Cadmium,ug/l,CG-6,California Gulch (US EPA Region 8),0801478,09:45:00,0.00189,UNKNOWN,NA,NA,2005-05-17,Water,NA
2005-09-28,Cadmium,ug/l,CG-6,California Gulch (US EPA Region 8),0801478,14:00:00,0.004,UNKNOWN,NA,NA,2005-09-28,Water,NA
2005-03-25,Cadmium,ug/l,AR-3A,California Gulch (US EPA Region 8),0801478,20:59:00,2.37e-4,UNKNOWN,NA,NA,2005-03-25,Water,NA
2005-04-13,Cadmium,NA,AR-1,California Gulch (US EPA Region 8),0801478,08:59:00,NA,UNKNOWN,NA,NA,2005-04-13,Water,NA
2005-05-09,Cadmium,ug/l,AR-1,California Gulch (US EPA Region 8),0801478,08:30:00,5.28e-4,UNKNOWN,NA,NA,2005-05-09,Water,NA
2005-05-09,Cadmium,ug/l,AR-3A,California Gulch (US EPA Region 8),0801478,10:30:00,5.93e-4,UNKNOWN,NA,NA,2005-05-09,Water,NA
2005-03-22,Cadmium,ug/l,AR-3A,California Gulch (US EPA Region 8),0801478,08:59:00,2.42e-4,UNKNOWN,NA,NA,2005-03-22,Water,NA
2005-03-25,Cadmium,NA,AR-3A,California Gulch (US EPA Region 8),0801478,09:59:00,NA,UNKNOWN,NA,NA,2005-03-25,Water,NA
2005-09-22,Cadmium,ug/l,CG-4,California Gulch (US EPA Region 8),0801478,02:14:00,0.0165,UNKNOWN,NA,NA,2005-09-22,Water,NA
2005-09-28,Cadmium,ug/l,CG-4,California Gulch (US EPA Region 8),0801478,10:15:00,0.0026,UNKNOWN,NA,NA,2005-09-28,Water,NA
2005-09-28,Cadmium,ug/l,CG-6,California Gulch (US EPA Region 8),0801478,11:15:00,0.0034,UNKNOWN,NA,NA,2005-09-28,Water,NA
2005-05-25,Cadmium,ug/l,CG-6,California Gulch (US EPA Region 8),0801478,05:30:00,7.47e-4,UNKNOWN,NA,NA,2005-05-25,Water,NA
2005-05-03,Cadmium,ug/l,AR-1,California Gulch (US EPA Region 8),0801478,23:00:00,2.21e-4,UNKNOWN,NA,NA,2005-05-03,Water,NA
2005-03-25,Cadmium,ug/l,CG-6,California Gulch (US EPA Region 8),0801478,19:59:00,9.57e-4,UNKNOWN,NA,NA,2005-03-25,Water,NA
2005-08-04,Cadmium,ug/l,CG-4,California Gulch (US EPA Region 8),0801478,21:41:00,0.0232,UNKNOWN,NA,NA,2005-08-04,Water,NA
2005-04-22,Cadmium,NA,AR-1,California Gulch (US EPA Region 8),0801478,09:00:00,NA,UNKNOWN,NA,NA,2005-04-22,Water,NA
2005-05-23,Cadmium,ug/l,AR-3A,California Gulch (US EPA Region 8),0801478,22:30:00,2.36e-4,UNKNOWN,NA,NA,2005-05-23,Water,NA
2005-05-10,Cadmium,ug/l,AR-3A,California Gulch (US EPA Region 8),0801478,10:30:00,5.58e-4,UNKNOWN,NA,NA,2005-05-10,Water,NA
2005-05-11,Cadmium,ug/l,CG-6,California Gulch (US EPA Region 8),0801478,05:30:00,0.0172,UNKNOWN,NA,NA,2005-05-11,Water,NA
2005-05-11,Cadmium,ug/l,CG-6,California Gulch (US EPA Region 8),0801478,21:30:00,0.0124,UNKNOWN,NA,NA,2005-05-11,Water,NA
