lake,sampledate,water_depth,co2_uM_L,ch4_uM_L
TB,2021-02-03,0,439,1.8
TB,2021-02-03,3,432.3,7.4
TB,2021-02-03,5,520.7,54.4
TB,2021-02-03,7,644,148
TB,2021-02-16,0,491.7,2.2
TB,2021-02-16,3,486,7.1
TB,2021-02-16,5,573.3,95.4
TB,2021-02-16,7,907.3,383.3
TB,2021-03-02,0,502,4.1
TB,2021-03-02,3,497.7,13.7
TB,2021-03-02,5,597.3,90.9
TB,2021-03-02,7,890,323
TB,2021-03-15,0,453.3,12
TB,2021-03-15,3,481.7,20.8
TB,2021-03-15,5,653,152.3
TB,2021-03-15,7,935,444.7
TB,2021-04-13,0,130.9,11.9
TB,2021-04-13,3,480,37.4
TB,2021-04-13,5,599.3,100
TB,2021-04-13,7,845,309.3
