2014 Jun 03 11:05:55
                     Time,      [CH4]_ppm,   [CH4]_ppm_se,      [H2O]_ppm,   [H2O]_ppm_se,      [CO2]_ppm,   [CO2]_ppm_se,  [CH4_DRY]_ppm,[CH4_DRY]_ppm_se,  [CO2_DRY]_ppm,[CO2_DRY]_ppm_se,      GasP_torr,   GasP_torr_se,         GasT_C,      GasT_C_se,         AmbT_C,      AmbT_C_se,         RD0_us,      RD0_us_se,         RD1_us,      RD1_us_se,       Fit_Flag
    06/03/14 11:06:42.010,    2.35868e+00,    0.00000e+00,    1.51790e+04,    0.00000e+00,    4.04273e+02,    0.00000e+00,    2.39503e+00,    0.00000e+00,    4.10504e+02,    0.00000e+00,    1.40435e+02,    0.00000e+00,    2.85190e+01,    0.00000e+00,    1.18802e+02,    0.00000e+00,    8.67222e+00,    0.00000e+00,    7.52884e+00,    0.00000e+00,              3
    06/03/14 11:06:42.423,    2.34506e+00,    0.00000e+00,    1.51404e+04,    0.00000e+00,    4.04178e+02,    0.00000e+00,    2.38111e+00,    0.00000e+00,    4.10391e+02,    0.00000e+00,    1.40416e+02,    0.00000e+00,    2.85288e+01,    0.00000e+00,    1.18685e+02,    0.00000e+00,    8.67919e+00,    0.00000e+00,    7.52774e+00,    0.00000e+00,              3
    06/03/14 11:06:42.836,    2.32762e+00,    0.00000e+00,    1.50622e+04,    0.00000e+00,    4.03598e+02,    0.00000e+00,    2.36322e+00,    0.00000e+00,    4.09770e+02,    0.00000e+00,    1.40495e+02,    0.00000e+00,    2.85243e+01,    0.00000e+00,    1.18763e+02,    0.00000e+00,    8.66219e+00,    0.00000e+00,    7.52391e+00,    0.00000e+00,              3
    06/03/14 11:06:43.253,    2.30857e+00,    0.00000e+00,    1.51520e+04,    0.00000e+00,    4.02877e+02,    0.00000e+00,    2.34409e+00,    0.00000e+00,    4.09076e+02,    0.00000e+00,    1.40439e+02,    0.00000e+00,    2.85310e+01,    0.00000e+00,    1.18699e+02,    0.00000e+00,    8.65689e+00,    0.00000e+00,    7.53100e+00,    0.00000e+00,              3
    06/03/14 11:06:43.662,    2.29431e+00,    0.00000e+00,    1.50698e+04,    0.00000e+00,    4.02509e+02,    0.00000e+00,    2.32942e+00,    0.00000e+00,    4.08667e+02,    0.00000e+00,    1.40420e+02,    0.00000e+00,    2.85287e+01,    0.00000e+00,    1.18703e+02,    0.00000e+00,    8.66454e+00,    0.00000e+00,    7.53912e+00,    0.00000e+00,              3
    06/03/14 11:06:44.075,    2.27425e+00,    0.00000e+00,    1.50116e+04,    0.00000e+00,    4.01995e+02,    0.00000e+00,    2.30891e+00,    0.00000e+00,    4.08122e+02,    0.00000e+00,    1.40384e+02,    0.00000e+00,    2.85223e+01,    0.00000e+00,    1.18791e+02,    0.00000e+00,    8.66259e+00,    0.00000e+00,    7.53410e+00,    0.00000e+00,              3
    06/03/14 11:06:44.488,    2.26619e+00,    0.00000e+00,    1.51841e+04,    0.00000e+00,    4.02718e+02,    0.00000e+00,    2.30113e+00,    0.00000e+00,    4.08927e+02,    0.00000e+00,    1.40380e+02,    0.00000e+00,    2.85332e+01,    0.00000e+00,    1.18676e+02,    0.00000e+00,    8.65933e+00,    0.00000e+00,    7.51848e+00,    0.00000e+00,              3
    06/03/14 11:06:44.901,    2.24575e+00,    0.00000e+00,    1.50469e+04,    0.00000e+00,    4.00275e+02,    0.00000e+00,    2.28006e+00,    0.00000e+00,    4.06390e+02,    0.00000e+00,    1.40418e+02,    0.00000e+00,    2.85208e+01,    0.00000e+00,    1.18729e+02,    0.00000e+00,    8.66242e+00,    0.00000e+00,    7.52489e+00,    0.00000e+00,              3
    06/03/14 11:06:45.317,    2.23481e+00,    0.00000e+00,    1.50390e+04,    0.00000e+00,    4.02039e+02,    0.00000e+00,    2.26893e+00,    0.00000e+00,    4.08178e+02,    0.00000e+00,    1.40438e+02,    0.00000e+00,    2.85365e+01,    0.00000e+00,    1.18664e+02,    0.00000e+00,    8.66519e+00,    0.00000e+00,    7.52277e+00,    0.00000e+00,              3
    06/03/14 11:06:45.727,    2.22452e+00,    0.00000e+00,    1.49766e+04,    0.00000e+00,    4.00728e+02,    0.00000e+00,    2.25834e+00,    0.00000e+00,    4.06820e+02,    0.00000e+00,    1.40431e+02,    0.00000e+00,    2.85319e+01,    0.00000e+00,    1.18635e+02,    0.00000e+00,    8.65798e+00,    0.00000e+00,    7.53190e+00,    0.00000e+00,              3
    06/03/14 11:06:46.139,    2.21543e+00,    0.00000e+00,    1.49356e+04,    0.00000e+00,    4.00750e+02,    0.00000e+00,    2.24902e+00,    0.00000e+00,    4.06827e+02,    0.00000e+00,    1.40395e+02,    0.00000e+00,    2.85248e+01,    0.00000e+00,    1.18773e+02,    0.00000e+00,    8.63020e+00,    0.00000e+00,    7.52412e+00,    0.00000e+00,              3
    06/03/14 11:06:46.552,    2.19448e+00,    0.00000e+00,    1.48100e+04,    0.00000e+00,    3.99184e+02,    0.00000e+00,    2.22747e+00,    0.00000e+00,    4.05185e+02,    0.00000e+00,    1.40370e+02,    0.00000e+00,    2.85351e+01,    0.00000e+00,    1.18714e+02,    0.00000e+00,    8.65233e+00,    0.00000e+00,    7.52838e+00,    0.00000e+00,              3
    06/03/14 11:06:46.964,    2.18848e+00,    0.00000e+00,    1.47924e+04,    0.00000e+00,    3.99944e+02,    0.00000e+00,    2.22134e+00,    0.00000e+00,    4.05949e+02,    0.00000e+00,    1.40389e+02,    0.00000e+00,    2.85262e+01,    0.00000e+00,    1.18705e+02,    0.00000e+00,    8.65966e+00,    0.00000e+00,    7.52194e+00,    0.00000e+00,              3
    06/03/14 11:06:47.384,    2.17847e+00,    0.00000e+00,    1.49102e+04,    0.00000e+00,    3.99018e+02,    0.00000e+00,    2.21144e+00,    0.00000e+00,    4.05057e+02,    0.00000e+00,    1.40386e+02,    0.00000e+00,    2.85336e+01,    0.00000e+00,    1.18637e+02,    0.00000e+00,    8.66754e+00,    0.00000e+00,    7.53421e+00,    0.00000e+00,              3
    06/03/14 11:06:47.797,    2.16526e+00,    0.00000e+00,    1.47183e+04,    0.00000e+00,    3.98999e+02,    0.00000e+00,    2.19760e+00,    0.00000e+00,    4.04959e+02,    0.00000e+00,    1.40443e+02,    0.00000e+00,    2.85365e+01,    0.00000e+00,    1.18614e+02,    0.00000e+00,    8.65622e+00,    0.00000e+00,    7.52712e+00,    0.00000e+00,              3
    06/03/14 11:06:48.210,    2.14844e+00,    0.00000e+00,    1.48508e+04,    0.00000e+00,    3.98994e+02,    0.00000e+00,    2.18083e+00,    0.00000e+00,    4.05009e+02,    0.00000e+00,    1.40502e+02,    0.00000e+00,    2.85257e+01,    0.00000e+00,    1.18730e+02,    0.00000e+00,    8.65775e+00,    0.00000e+00,    7.52513e+00,    0.00000e+00,              3
