hour,site,sensor,value
2019-10-07T21:00:00Z,Legacy,ph,7.799626735000179
2019-10-07T21:00:00Z,Legacy,salinity,132.37740761700778
2019-10-07T21:00:00Z,Legacy,temp,11.458612099047041
2019-10-07T21:00:00Z,Legacy,turb,0.8181643907668271
2019-10-07T21:00:00Z,Prospect,depth,1.2107329041084731
2019-10-07T21:00:00Z,Prospect,depth_lead,1.2119052818329494
2019-10-07T21:00:00Z,Prospect,depth_rate,-0.001172377724476232
2019-10-07T21:00:00Z,Prospect,dissolved oxygen,72.83482080691095
2019-10-07T21:00:00Z,Prospect,do_mg,7.756274900098753
2019-10-07T21:00:00Z,Prospect,orp,270.46589986110087
2019-10-07T21:00:00Z,Prospect,ph,8.036400956534463
2019-10-07T21:00:00Z,Prospect,salinity,387.7806703923118
2019-10-07T21:00:00Z,Prospect,temp,11.899323431206053
2019-10-07T21:00:00Z,Prospect,turb,4.2563194940648
2019-10-07T21:00:00Z,Rist,depth,1.264034645455355
2019-10-07T21:00:00Z,Rist,depth_lead,1.2624275239890812
2019-10-07T21:00:00Z,Rist,depth_rate,0.0016071214662735438
2019-10-07T21:00:00Z,Rist,dissolved oxygen,99.73800515821364
2019-10-07T21:00:00Z,Rist,do_mg,8.350149482272125
2019-10-07T21:00:00Z,Rist,orp,338.5011498890182
2019-10-07T21:00:00Z,Rist,ph,7.776253909020944
2019-10-07T21:00:00Z,Rist,salinity,82.22982265049087
2019-10-07T21:00:00Z,Rist,temp,10.376488836024992
2019-10-07T21:00:00Z,Rist,turb,0.07452938907900888
2019-10-07T21:00:00Z,Timberline,depth,1.7944337463334745
2019-10-07T21:00:00Z,Timberline,depth_lead,1.7835081866856881
2019-10-07T21:00:00Z,Timberline,depth_rate,0.07035440796140735
2019-10-07T21:00:00Z,Timberline,dissolved oxygen,76.41483220577476
2019-10-07T21:00:00Z,Timberline,do_mg,8.114187979014227
2019-10-07T21:00:00Z,Timberline,orp,238.12523963061378
2019-10-07T21:00:00Z,Timberline,ph,7.942213932727343
2019-10-07T21:00:00Z,Timberline,salinity,350.9851031056669
2019-10-07T21:00:00Z,Timberline,temp,12.01633603728451
2019-10-07T21:00:00Z,Timberline,turb,0.034795426590583316
2019-10-07T22:00:00Z,Archery,depth,3.263405102465721
2019-10-07T22:00:00Z,Archery,depth_lead,3.263405102465721
2019-10-07T22:00:00Z,Archery,depth_rate,0
2019-10-07T22:00:00Z,Archery,dissolved oxygen,115.76878289642474
2019-10-07T22:00:00Z,Archery,do_mg,11.914507308106467
2019-10-07T22:00:00Z,Archery,orp,230.7371079375244
2019-10-07T22:00:00Z,Archery,ph,9.010282012504291
2019-10-07T22:00:00Z,Archery,salinity,747.1145228637098
2019-10-07T22:00:00Z,Archery,temp,14.315880874081417
2019-10-07T22:00:00Z,Archery,turb,5.254287460594758
2019-10-07T22:00:00Z,ELC,depth,0.9631904248263827
2019-10-07T22:00:00Z,ELC,depth_lead,0.9625098245470018
2019-10-07T22:00:00Z,ELC,depth_rate,6.806002793805234e-4
2019-10-07T22:00:00Z,ELC,dissolved oxygen,98.23972469036003
2019-10-07T22:00:00Z,ELC,do_mg,8.828685962613237
2019-10-07T22:00:00Z,ELC,orp,287.22702386584024
